Title,Genre,Year,Rating,Runtime,Critic Score,Box Office
Quills,Drama,2000,R,124,75,4.3
Traffic,Thriller,2000,R,147,92,123.8
Traffic,Drama,2000,R,147,92,123.8
Traffic,Crime,2000,R,147,92,123.8
"Crouching Tiger, Hidden Dragon",Drama,2000,PG-13,120,97,127.7
"Crouching Tiger, Hidden Dragon",Action,2000,PG-13,120,97,127.7
Finding Forrester,Drama,2000,PG-13,136,74,51.4
State and Main,Comedy,2000,R,105,86,5.8
State and Main,Drama,2000,R,105,86,5.8
Thirteen Days,Drama,2000,PG-13,145,83,33.1
Thirteen Days,History,2000,PG-13,145,83,33.1
Thirteen Days,Thriller,2000,PG-13,145,83,33.1
Chocolat,Drama,2000,PG-13,121,63,71.3
Snatch.,Comedy,2000,R,102,73,30.1
Snatch.,Crime,2000,R,102,73,30.1
The Gift,Drama,2000,R,111,57,11.2
The Gift,Horror,2000,R,111,57,11.2
The Gift,Mystery,2000,R,111,57,11.2
Shadow of the Vampire,Drama,2000,R,92,81,7.5
Shadow of the Vampire,Horror,2000,R,92,81,7.5
"O Brother, Where Art Thou?",Adventure,2000,PG-13,106,77,45.2
"O Brother, Where Art Thou?",Comedy,2000,PG-13,106,77,45.2
"O Brother, Where Art Thou?",Crime,2000,PG-13,106,77,45.2
Before Night Falls,Biography,2000,R,133,73,2.8
Before Night Falls,Drama,2000,R,133,73,2.8
An Everlasting Piece,Comedy,2000,R,103,48,0.0091
Pollock,Biography,2000,R,122,81,7.3
Pollock,Drama,2000,R,122,81,7.3
Memento,Mystery,2000,R,113,92,23.8
Memento,Thriller,2000,R,113,92,23.8
The Golden Bowl,Drama,2000,R,130,54,2.2
Songcatcher,Drama,2000,PG-13,109,74,1.6
Songcatcher,Music,2000,PG-13,109,74,1.6
The Endurance,Documentary,2000,G,97,95,2.1
The Endurance,History,2000,G,97,95,2.1
Tadpole,Comedy,2000,PG-13,78,78,2.9
Tadpole,Drama,2000,PG-13,78,78,2.9
The Debut,Comedy,2000,R,88,74,1.5
The Debut,Drama,2000,R,88,74,1.5
Antitrust,Crime,2001,PG-13,109,24,11
Antitrust,Drama,2001,PG-13,109,24,11
Antitrust,Thriller,2001,PG-13,109,24,11
Double Take,Action,2001,PG-13,88,12,28.5
Double Take,Crime,2001,PG-13,88,12,28.5
Double Take,Comedy,2001,PG-13,88,12,28.5
The Pledge,Drama,2001,R,124,78,18.9
The Pledge,Mystery,2001,R,124,78,18.9
The Pledge,Crime,2001,R,124,78,18.9
"Scotland, Pa.",Comedy,2001,R,104,59,0.2
"Scotland, Pa.",Crime,2001,R,104,59,0.2
Sugar & Spice,Comedy,2001,PG-13,81,28,12.4
Sugar & Spice,Crime,2001,PG-13,81,28,12.4
Head Over Heels,Comedy,2001,PG-13,86,10,9.9
Head Over Heels,Mystery,2001,PG-13,86,10,9.9
Valentine,Thriller,2001,R,96,8,19.8
Valentine,Horror,2001,R,96,8,19.8
Hannibal,Drama,2001,R,131,39,163.9
Hannibal,Thriller,2001,R,131,39,163.9
Hannibal,Crime,2001,R,131,39,163.9
Saving Silverman,Comedy,2001,PG-13,90,18,19
Saving Silverman,Crime,2001,PG-13,90,18,19
Down to Earth,Fantasy,2001,PG-13,87,20,63.1
Down to Earth,Comedy,2001,PG-13,87,20,63.1
Recess: School's Out,Family,2001,G,82,61,34.8
Recess: School's Out,Animation,2001,G,82,61,34.8
Recess: School's Out,Comedy,2001,G,82,61,34.8
Sweet November,Drama,2001,PG-13,119,16,24.4
3000 Miles to Graceland,Comedy,2001,R,125,14,15.3
3000 Miles to Graceland,Action,2001,R,125,14,15.3
3000 Miles to Graceland,Crime,2001,R,125,14,15.3
Haunted Castle,Animation,2001,PG,38,25,12.4
Haunted Castle,Horror,2001,PG,38,25,12.4
Monkeybone,Animation,2001,PG-13,93,20,4.9
Monkeybone,Fantasy,2001,PG-13,93,20,4.9
Monkeybone,Comedy,2001,PG-13,93,20,4.9
Carman: The Champion,Drama,2001,PG-13,82,11,1.3
Carman: The Champion,Sport,2001,PG-13,82,11,1.3
Carman: The Champion,Action,2001,PG-13,82,11,1.3
See Spot Run,Crime,2001,PG,94,23,32.5
See Spot Run,Action,2001,PG,94,23,32.5
See Spot Run,Comedy,2001,PG,94,23,32.5
The Mexican,Comedy,2001,R,123,56,66.6
The Mexican,Crime,2001,R,123,56,66.6
The Mexican,Adventure,2001,R,123,56,66.6
15 Minutes,Drama,2001,R,120,33,24.2
15 Minutes,Crime,2001,R,120,33,24.2
15 Minutes,Action,2001,R,120,33,24.2
Get Over It,Comedy,2001,PG-13,87,44,11.3
Bartleby,Comedy,2001,PG-13,83,35,0.0603
Bartleby,Drama,2001,PG-13,83,35,0.0603
Bartleby,Mystery,2001,PG-13,83,35,0.0603
Never Again,Comedy,2001,R,98,31,0.2
Enemy at the Gates,Drama,2001,R,131,54,50.5
Enemy at the Gates,History,2001,R,131,54,50.5
Exit Wounds,Comedy,2001,R,101,32,51.4
Exit Wounds,Action,2001,R,101,32,51.4
Exit Wounds,Crime,2001,R,101,32,51.4
Heartbreakers,Crime,2001,PG-13,123,53,39.9
Heartbreakers,Comedy,2001,PG-13,123,53,39.9
Say It Isn't So,Comedy,2001,R,95,9,4.8
The Brothers,Comedy,2001,R,106,63,26.6
The Brothers,Drama,2001,R,106,63,26.6
Someone Like You...,Comedy,2001,PG-13,97,43,26.7
Spy Kids,Comedy,2001,PG,88,93,110.8
Spy Kids,Adventure,2001,PG,88,93,110.8
Spy Kids,Action,2001,PG,88,93,110.8
Along Came a Spider,Thriller,2001,R,104,32,73.6
Blow,Drama,2001,R,124,55,52.8
Blow,Biography,2001,R,124,55,52.8
Blow,Crime,2001,R,124,55,52.8
Joe Dirt,Adventure,2001,PG-13,91,11,27.1
Joe Dirt,Comedy,2001,PG-13,91,11,27.1
Joe Dirt,Drama,2001,PG-13,91,11,27.1
Josie and the Pussycats,Music,2001,PG-13,98,53,14.1
Josie and the Pussycats,Comedy,2001,PG-13,98,53,14.1
Kingdom Come,Comedy,2001,PG,94,28,22.6
Kingdom Come,Drama,2001,PG,94,28,22.6
Kingdom Come,Family,2001,PG,94,28,22.6
Crocodile Dundee in Los Angeles,Adventure,2001,PG,92,11,25.3
Crocodile Dundee in Los Angeles,Comedy,2001,PG,92,11,25.3
Freddy Got Fingered,Comedy,2001,R,87,11,13.7
Driven,Sport,2001,PG-13,116,14,32.4
Driven,Drama,2001,PG-13,116,14,32.4
Driven,Action,2001,PG-13,116,14,32.4
One Night at McCool's,Crime,2001,R,93,33,5.7
One Night at McCool's,Comedy,2001,R,93,33,5.7
The Forsaken,Horror,2001,R,90,7,6.3
The Forsaken,Thriller,2001,R,90,7,6.3
Town & Country,Comedy,2001,R,104,13,6.3
The Mummy Returns,Adventure,2001,PG-13,130,47,200.7
The Mummy Returns,Action,2001,PG-13,130,47,200.7
The Mummy Returns,Fantasy,2001,PG-13,130,47,200.7
The Tailor of Panama,Drama,2001,R,109,77,13.1
The Tailor of Panama,Thriller,2001,R,109,77,13.1
A Knight's Tale,Action,2001,PG-13,132,58,55
A Knight's Tale,Adventure,2001,PG-13,132,58,55
Shrek,Adventure,2001,PG,90,88,267
Shrek,Comedy,2001,PG,90,88,267
Shrek,Animation,2001,PG,90,88,267
Pearl Harbor,Drama,2001,PG-13,183,25,197.8
Pearl Harbor,Action,2001,PG-13,183,25,197.8
Moulin Rouge!,Musical,2001,PG-13,127,76,55.1
Moulin Rouge!,Music,2001,PG-13,127,76,55.1
Moulin Rouge!,Drama,2001,PG-13,127,76,55.1
Startup.com,Documentary,2001,R,107,92,0.5
The Animal,Comedy,2001,PG-13,84,30,54.4
What's the Worst That Could Happen?,Crime,2001,PG-13,94,10,31.1
What's the Worst That Could Happen?,Comedy,2001,PG-13,94,10,31.1
Evolution,Comedy,2001,PG-13,101,43,37.6
Evolution,Sci-Fi,2001,PG-13,101,43,37.6
Swordfish,Thriller,2001,R,99,26,68.8
Swordfish,Crime,2001,R,99,26,68.8
Swordfish,Action,2001,R,99,26,68.8
Atlantis: The Lost Empire,Family,2001,PG,95,49,83.6
Atlantis: The Lost Empire,Animation,2001,PG,95,49,83.6
Atlantis: The Lost Empire,Adventure,2001,PG,95,49,83.6
Lara Croft: Tomb Raider,Action,2001,PG-13,100,19,129.5
Lara Croft: Tomb Raider,Adventure,2001,PG-13,100,19,129.5
Lara Croft: Tomb Raider,Fantasy,2001,PG-13,100,19,129.5
Dr. Dolittle 2,Fantasy,2001,PG,87,42,111.5
Dr. Dolittle 2,Comedy,2001,PG,87,42,111.5
Dr. Dolittle 2,Family,2001,PG,87,42,111.5
The Fast and the Furious,Crime,2001,PG-13,106,53,142.5
The Fast and the Furious,Thriller,2001,PG-13,106,53,142.5
The Fast and the Furious,Action,2001,PG-13,106,53,142.5
Baby Boy,Drama,2001,R,130,71,27.8
Baby Boy,Crime,2001,R,130,71,27.8
Baby Boy,Comedy,2001,R,130,71,27.8
A.I. Artificial Intelligence,Sci-Fi,2001,PG-13,146,73,77.6
A.I. Artificial Intelligence,Adventure,2001,PG-13,146,73,77.6
A.I. Artificial Intelligence,Drama,2001,PG-13,146,73,77.6
Crazy/Beautiful,Drama,2001,PG-13,99,63,16.2
Pootie Tang,Music,2001,PG-13,81,29,2.8
Pootie Tang,Musical,2001,PG-13,81,29,2.8
Pootie Tang,Adventure,2001,PG-13,81,29,2.8
Pootie Tang,Comedy,2001,PG-13,81,29,2.8
The Anniversary Party,Comedy,2001,R,115,60,3
The Anniversary Party,Drama,2001,R,115,60,3
Cats & Dogs,Comedy,2001,PG,87,54,90.9
Cats & Dogs,Action,2001,PG,87,54,90.9
Cats & Dogs,Family,2001,PG,87,54,90.9
Kiss of the Dragon,Action,2001,R,98,51,34.7
Kiss of the Dragon,Crime,2001,R,98,51,34.7
Kiss of the Dragon,Drama,2001,R,98,51,34.7
Final Fantasy: The Spirits Within,Adventure,2001,PG-13,106,44,31.5
Final Fantasy: The Spirits Within,Action,2001,PG-13,106,44,31.5
Final Fantasy: The Spirits Within,Animation,2001,PG-13,106,44,31.5
The Score,Action,2001,R,124,73,70.3
The Score,Crime,2001,R,124,73,70.3
Jurassic Park III,Adventure,2001,PG-13,92,50,180.1
Jurassic Park III,Sci-Fi,2001,PG-13,92,50,180.1
Jurassic Park III,Action,2001,PG-13,92,50,180.1
America's Sweethearts,Comedy,2001,PG-13,102,31,93
Planet of the Apes,Sci-Fi,2001,PG-13,119,45,178.1
Planet of the Apes,Action,2001,PG-13,119,45,178.1
Planet of the Apes,Adventure,2001,PG-13,119,45,178.1
Original Sin,Mystery,2001,R,116,12,15.1
Original Sin,Drama,2001,R,116,12,15.1
Rush Hour 2,Comedy,2001,PG-13,90,52,226
Rush Hour 2,Crime,2001,PG-13,90,52,226
Rush Hour 2,Action,2001,PG-13,90,52,226
The Princess Diaries,Family,2001,G,115,47,107.8
The Princess Diaries,Comedy,2001,G,115,47,107.8
American Pie 2,Comedy,2001,R,108,52,144
Osmosis Jones,Action,2001,PG,95,55,12.3
Osmosis Jones,Animation,2001,PG,95,55,12.3
Osmosis Jones,Adventure,2001,PG,95,55,12.3
The Others,Thriller,2001,PG-13,104,83,96.1
The Others,Mystery,2001,PG-13,104,83,96.1
The Others,Horror,2001,PG-13,104,83,96.1
American Outlaws,Action,2001,PG-13,94,14,11.9
American Outlaws,Western,2001,PG-13,94,14,11.9
Captain Corelli's Mandolin,Music,2001,R,131,29,25.3
Captain Corelli's Mandolin,Drama,2001,R,131,29,25.3
Rat Race,Adventure,2001,PG-13,112,44,55.8
Rat Race,Comedy,2001,PG-13,112,44,55.8
The Believer,Drama,2001,R,102,82,0.2
Bubble Boy,Adventure,2001,PG-13,84,29,4.2
Bubble Boy,Biography,2001,PG-13,84,29,4.2
Bubble Boy,Comedy,2001,PG-13,84,29,4.2
Ghosts of Mars,Horror,2001,R,98,21,7.3
Ghosts of Mars,Action,2001,R,98,21,7.3
Ghosts of Mars,Sci-Fi,2001,R,98,21,7.3
Jay and Silent Bob Strike Back,Comedy,2001,R,104,53,29.9
Summer Catch,Drama,2001,PG-13,108,8,19
Summer Catch,Comedy,2001,PG-13,108,8,19
The Curse of the Jade Scorpion,Crime,2001,PG-13,103,45,6.8
The Curse of the Jade Scorpion,Mystery,2001,PG-13,103,45,6.8
The Curse of the Jade Scorpion,Comedy,2001,PG-13,103,45,6.8
Hedwig and the Angry Inch,Drama,2001,R,95,92,1.5
Hedwig and the Angry Inch,Music,2001,R,95,92,1.5
Hedwig and the Angry Inch,Comedy,2001,R,95,92,1.5
Jeepers Creepers,Horror,2001,R,90,45,37.5
Made,Comedy,2001,R,95,71,3.7
Made,Crime,2001,R,95,71,3.7
Made,Drama,2001,R,95,71,3.7
O,Drama,2001,R,95,64,15.5
O,Thriller,2001,R,95,64,15.5
The Deep End,Drama,2001,R,101,82,8.3
The Deep End,Crime,2001,R,101,82,8.3
The Deep End,Mystery,2001,R,101,82,8.3
Tortilla Soup,Drama,2001,PG-13,102,74,2.9
Tortilla Soup,Comedy,2001,PG-13,102,74,2.9
Soul Survivors,Horror,2001,PG-13,84,4,2
Soul Survivors,Drama,2001,PG-13,84,4,2
Soul Survivors,Mystery,2001,PG-13,84,4,2
The Musketeer,Adventure,2001,PG-13,104,11,26.6
The Musketeer,Action,2001,PG-13,104,11,26.6
Two Can Play That Game,Comedy,2001,R,90,43,22
The Glass House,Thriller,2001,PG-13,106,21,17.4
Ghost World,Drama,2001,R,111,92,4.7
Ghost World,Comedy,2001,R,111,92,4.7
Glitter,Drama,2001,PG-13,104,7,3.9
Glitter,Music,2001,PG-13,104,7,3.9
Megiddo: The Omega Code 2,Fantasy,2001,PG-13,104,10,5.6
Megiddo: The Omega Code 2,Action,2001,PG-13,104,10,5.6
Megiddo: The Omega Code 2,Adventure,2001,PG-13,104,10,5.6
Don't Say a Word,Crime,2001,R,113,24,54.2
Don't Say a Word,Drama,2001,R,113,24,54.2
Don't Say a Word,Mystery,2001,R,113,24,54.2
Extremedays,Comedy,2001,PG,93,43,0.5
Extremedays,Action,2001,PG,93,43,0.5
Extremedays,Adventure,2001,PG,93,43,0.5
Hearts in Atlantis,Mystery,2001,PG-13,101,50,23.6
Hearts in Atlantis,Drama,2001,PG-13,101,50,23.6
Zoolander,Comedy,2001,PG-13,89,64,44.7
Big Bad Love,Drama,2001,R,111,41,0.1
Big Bad Love,Comedy,2001,R,111,41,0.1
Joy Ride,Mystery,2001,R,97,73,21.3
Joy Ride,Thriller,2001,R,97,73,21.3
Max Keeble's Big Move,Comedy,2001,PG,86,29,16.5
Max Keeble's Big Move,Family,2001,PG,86,29,16.5
Max Keeble's Big Move,Crime,2001,PG,86,29,16.5
Serendipity,Comedy,2001,PG-13,90,59,50
Training Day,Drama,2001,R,122,72,76.1
Training Day,Thriller,2001,R,122,72,76.1
Training Day,Crime,2001,R,122,72,76.1
Bandits,Comedy,2001,PG-13,123,65,41.2
Bandits,Drama,2001,PG-13,123,65,41.2
Bandits,Crime,2001,PG-13,123,65,41.2
Corky Romano,Crime,2001,PG-13,86,6,23
Corky Romano,Comedy,2001,PG-13,86,6,23
From Hell,Thriller,2001,R,122,57,30.7
From Hell,Horror,2001,R,122,57,30.7
From Hell,Mystery,2001,R,122,57,30.7
Mulholland Drive,Mystery,2001,R,147,81,7.1
Mulholland Drive,Thriller,2001,R,147,81,7.1
Mulholland Drive,Drama,2001,R,147,81,7.1
Riding in Cars with Boys,Biography,2001,PG-13,132,49,29.6
Riding in Cars with Boys,Comedy,2001,PG-13,132,49,29.6
Riding in Cars with Boys,Drama,2001,PG-13,132,49,29.6
The Last Castle,Drama,2001,R,131,52,17.9
The Last Castle,Thriller,2001,R,131,52,17.9
The Last Castle,Action,2001,R,131,52,17.9
Bones,Horror,2001,R,96,21,6.8
Bones,Crime,2001,R,96,21,6.8
K-PAX,Drama,2001,PG-13,120,41,50
K-PAX,Sci-Fi,2001,PG-13,120,41,50
Thir13en Ghosts,Mystery,2001,R,91,14,41.6
Thir13en Ghosts,Horror,2001,R,91,14,41.6
Thir13en Ghosts,Thriller,2001,R,91,14,41.6
Domestic Disturbance,Crime,2001,PG-13,89,24,44.4
Domestic Disturbance,Mystery,2001,PG-13,89,24,44.4
Domestic Disturbance,Thriller,2001,PG-13,89,24,44.4
"Monsters, Inc.",Comedy,2001,G,92,96,34
"Monsters, Inc.",Animation,2001,G,92,96,34
"Monsters, Inc.",Adventure,2001,G,92,96,34
The One,Sci-Fi,2001,PG-13,87,14,43.9
The One,Action,2001,PG-13,87,14,43.9
The One,Thriller,2001,PG-13,87,14,43.9
Storytelling,Comedy,2001,R,87,53,0.9
Storytelling,Drama,2001,R,87,53,0.9
Heist,Crime,2001,R,109,65,23.3
Heist,Action,2001,R,109,65,23.3
Heist,Drama,2001,R,109,65,23.3
Life as a House,Drama,2001,R,125,47,15.4
Shallow Hal,Drama,2001,PG-13,114,51,70.7
Shallow Hal,Fantasy,2001,PG-13,114,51,70.7
Shallow Hal,Comedy,2001,PG-13,114,51,70.7
The Wash,Comedy,2001,R,93,8,9.8
Harry Potter and the Sorcerer's Stone,Fantasy,2001,PG,152,80,317.6
Harry Potter and the Sorcerer's Stone,Adventure,2001,PG,152,80,317.6
Harry Potter and the Sorcerer's Stone,Family,2001,PG,152,80,317.6
The Man Who Wasn't There,Drama,2001,R,116,81,7.4
The Man Who Wasn't There,Crime,2001,R,116,81,7.4
Waking Life,Animation,2001,R,99,80,2.1
Waking Life,Drama,2001,R,99,80,2.1
Waking Life,Fantasy,2001,R,99,80,2.1
Black Knight,Adventure,2001,PG-13,95,14,33.3
Black Knight,Fantasy,2001,PG-13,95,14,33.3
Black Knight,Comedy,2001,PG-13,95,14,33.3
Out Cold,Comedy,2001,PG-13,89,8,13.9
Out Cold,Sport,2001,PG-13,89,8,13.9
Spy Game,Thriller,2001,R,126,66,62.3
Spy Game,Action,2001,R,126,66,62.3
Spy Game,Crime,2001,R,126,66,62.3
Behind Enemy Lines,War,2001,PG-13,106,37,58.8
