Title,Year,Rating,Runtime,Critic.Score,Box.Office
The Animal,2001,PG-13,84,30,54.4
Swordfish,2001,R,99,26,68.8
Evolution,2001,PG-13,101,43,37.6
Lara Croft: Tomb Raider,2001,PG-13,100,19,129.5
Atlantis: The Lost Empire,2001,PG,95,49,83.6
The Fast and the Furious,2001,PG-13,106,53,142.5
Dr. Dolittle 2,2001,PG,87,42,111.5
Baby Boy,2001,R,130,71,27.8
Pootie Tang,2001,PG-13,81,29,2.8
The Anniversary Party,2001,R,115,60,3
Crazy/Beautiful,2001,PG-13,99,63,16.2
A.I. Artificial Intelligence,2001,PG-13,146,73,77.6
Cats & Dogs,2001,PG,87,54,90.9
Kiss of the Dragon,2001,R,98,51,34.7
Final Fantasy: The Spirits Within,2001,PG-13,106,44,31.5
The Score,2001,R,124,73,70.3
Jurassic Park III,2001,PG-13,92,50,180.1
America's Sweethearts,2001,PG-13,102,31,93
Planet of the Apes,2001,PG-13,119,45,178.1
Original Sin,2001,R,116,12,15.1
The Princess Diaries,2001,G,115,47,107.8
Rush Hour 2,2001,PG-13,90,52,226
The Others,2001,PG-13,104,83,96.1
Osmosis Jones,2001,PG,95,55,12.3
American Pie 2,2001,R,108,52,144
Captain Corelli's Mandolin,2001,R,131,29,25.3
American Outlaws,2001,PG-13,94,14,11.9
Rat Race,2001,PG-13,112,44,55.8
The Believer,2001,R,102,82,0.2
Jay and Silent Bob Strike Back,2001,R,104,53,29.9
Bubble Boy,2001,PG-13,84,29,4.2
Ghosts of Mars,2001,R,98,21,7.3
Summer Catch,2001,PG-13,108,8,19
The Curse of the Jade Scorpion,2001,PG-13,103,45,6.8
The Deep End,2001,R,101,82,8.3
O,2001,R,95,64,15.5
Tortilla Soup,2001,PG-13,102,74,2.9
Made,2001,R,95,71,3.7
Hedwig and the Angry Inch,2001,R,95,92,1.5
Jeepers Creepers,2001,R,90,45,37.5
Soul Survivors,2001,PG-13,84,4,2
The Musketeer,2001,PG-13,104,11,26.6
Two Can Play That Game,2001,R,90,43,22
The Glass House,2001,PG-13,106,21,17.4
Megiddo: The Omega Code 2,2001,PG-13,104,10,5.6
Ghost World,2001,R,111,92,4.7
Glitter,2001,PG-13,104,7,3.9
Hearts in Atlantis,2001,PG-13,101,50,23.6
Zoolander,2001,PG-13,89,64,44.7
Don't Say a Word,2001,R,113,24,54.2
Extremedays,2001,PG,93,43,0.5
Big Bad Love,2001,R,111,41,0.1
Joy Ride,2001,R,97,73,21.3
Serendipity,2001,PG-13,90,59,50
Training Day,2001,R,122,72,76.1
Max Keeble's Big Move,2001,PG,86,29,16.5
Corky Romano,2001,PG-13,86,6,23
Bandits,2001,PG-13,123,65,41.2
Riding in Cars with Boys,2001,PG-13,132,49,29.6
The Last Castle,2001,R,131,52,17.9
From Hell,2001,R,122,57,30.7
Mulholland Drive,2001,R,147,81,7.1
Bones,2001,R,96,21,6.8
Thir13en Ghosts,2001,R,91,14,41.6
K-PAX,2001,PG-13,120,41,50
Domestic Disturbance,2001,PG-13,89,24,44.4
The One,2001,PG-13,87,14,43.9
"Monsters, Inc.",2001,G,92,96,34
Storytelling,2001,R,87,53,0.9
Life as a House,2001,R,125,47,15.4
Shallow Hal,2001,PG-13,114,51,70.7
Heist,2001,R,109,65,23.3
The Wash,2001,R,93,8,9.8
Harry Potter and the Sorcerer's Stone,2001,PG,152,80,317.6
The Man Who Wasn't There,2001,R,116,81,7.4
Waking Life,2001,R,99,80,2.1
Spy Game,2001,R,126,66,62.3
Out Cold,2001,PG-13,89,8,13.9
Black Knight,2001,PG-13,95,14,33.3
Behind Enemy Lines,2001,PG-13,106,37,58.8
Sidewalks of New York,2001,R,108,57,2.1
Ocean's Eleven,2001,PG-13,116,82,183.3
Vanilla Sky,2001,R,136,41,100.5
Novocaine,2001,R,95,38,1.5
Not Another Teen Movie,2001,R,89,28,37.9
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,91,313.8
The Majestic,2001,PG,152,42,27.7
The Business of Strangers,2001,R,84,80,0.5
Jimmy Neutron: Boy Genius,2001,G,82,75,80.9
How High,2001,R,93,27,31.2
Who Is Cletis Tout?,2001,R,92,23,0.0649
Kate & Leopold,2001,PG-13,118,50,47.1
Ali,2001,R,157,67,58.2
The Royal Tenenbaums,2001,R,110,80,52.3
A Beautiful Mind,2001,PG-13,135,75,170.7
Impostor,2001,R,95,22,5.3
American Adobo,2001,R,104,30,0.2
The Shipping News,2001,R,111,55,11.4
Gosford Park,2001,R,137,85,41.3
Black Hawk Down,2001,R,144,76,108.6
I Am Sam,2001,PG-13,132,34,40.3
Birthday Girl,2001,R,93,58,4.9
In the Bedroom,2001,R,130,93,35.7
Super Troopers,2001,R,100,35,18.4
Monster's Ball,2001,R,111,85,31.3
The Mystic Masseur,2001,PG,117,52,0.3
Iris,2001,R,91,79,5.4
Kissing Jessica Stein,2001,R,97,84,7
Human Nature,2001,R,96,49,0.7
The Other Side of Heaven,2001,PG,113,29,4.4
Frailty,2001,R,100,73,13.1
Piñero,2001,R,103,43,0.2
Monsoon Wedding,2001,R,114,95,13.7
Jason X,2001,R,91,19,12.6
The Cat's Meow,2001,PG-13,114,75,3.2
Dogtown and Z-Boys,2001,PG-13,91,92,1.2
CQ,2001,R,88,67,0.3
Enigma,2001,R,119,72,3.8
Thirteen Conversations About One Thing,2001,R,104,83,3
Festival in Cannes,2001,PG-13,100,65,0.041
Lovely & Amazing,2001,R,91,86,4.2
Little Secrets,2001,PG,96,60,0.4
Knockaround Guys,2001,R,92,20,11.5
Pokémon 4: The Movie,2001,G,75,14,1.6
The Man from Elysian Fields,2001,R,106,51,1.3
Cowboy Bebop: The Movie,2001,R,115,64,0.9
The Safety of Objects,2001,R,121,49,0.0862
On_Line,2002,R,97,38,0.0257
Orange County,2002,PG-13,82,46,41
State Property,2002,R,88,0,2.1
Snow Dogs,2002,PG,99,24,81.1
A Walk to Remember,2002,PG,101,27,41.1
Kung Pow: Enter the Fist,2002,PG-13,81,11,15.9
The Count of Monte Cristo,2002,PG-13,131,73,54.1
The Mothman Prophecies,2002,PG-13,119,52,35.2
The Singles Ward,2002,PG,102,50,1.1
Slackers,2002,R,86,10,4.8
Big Fat Liar,2002,PG,88,42,47.8
Collateral Damage,2002,R,108,19,40
Rollerball,2002,R,98,3,18.9
Crossroads,2002,PG-13,93,14,37.1
John Q,2002,PG-13,116,23,71
Hart's War,2002,R,125,60,19
Return to Never Land,2002,G,72,45,48.3
Heaven,2002,R,97,74,0.6
Dragonfly,2002,PG-13,104,7,30.1
Queen of the Damned,2002,R,101,17,30.3
We Were Soldiers,2002,R,138,63,78.1
The Time Machine,2002,PG-13,96,29,56.7
All About the Benjamins,2002,R,95,30,25.5
Showtime,2002,PG-13,95,25,37.9
Ice Age,2002,PG,81,77,176.2
Resident Evil,2002,R,100,33,39.5
Sorority Boys,2002,R,93,13,10.2
Blade II,2002,R,117,59,81.6
Clockstoppers,2002,PG,94,29,36.9
Panic Room,2002,R,112,76,95.3
Death to Smoochy,2002,R,109,42,8.3
The Rookie,2002,G,127,83,75.5
Van Wilder: Party Liaison,2002,R,92,18,21
Big Trouble,2002,PG-13,85,48,7.3
Changing Lanes,2002,R,98,77,66.7
The Sweetest Thing,2002,R,88,26,24.4
The Scorpion King,2002,PG-13,92,41,90.3
Life or Something Like It,2002,PG-13,103,28,14.4
Deuces Wild,2002,R,96,3,6
Hollywood Ending,2002,PG-13,112,47,4.8
The New Guy,2002,PG-13,88,7,29
Unfaithful,2002,R,124,49,52.7
Star Wars: Episode II - Attack of the Clones,2002,PG,142,67,310.3
The Salton Sea,2002,R,103,62,0.6
About a Boy,2002,PG-13,101,93,40.6
Spirit: Stallion of the Cimarron,2002,G,83,69,73.2
Enough,2002,PG-13,115,22,39.2
Insomnia,2002,R,118,92,67.2
Civil Brand,2002,R,95,16,0.1
Undercover Brother,2002,PG-13,86,77,38.2
The Sum of All Fears,2002,PG-13,124,59,118.5
Divine Secrets of the Ya-Ya Sisterhood,2002,PG-13,116,44,69.5
Bad Company,2002,PG-13,116,10,30.1
The Bourne Identity,2002,PG-13,119,83,121.5
Scooby-Doo,2002,PG,86,30,153.2
Windtalkers,2002,R,134,32,40.5
Passionada,2002,PG-13,108,58,0.5
Minority Report,2002,PG-13,145,90,131.9
Juwanna Mann,2002,PG-13,91,10,13.4
Lilo & Stitch,2002,PG,85,86,145.8
Mr. Deeds,2002,PG-13,96,22,126.2
Hey Arnold! The Movie,2002,PG,76,29,13.6
Like Mike,2002,PG,99,57,51.4
Men in Black II,2002,PG-13,88,39,190.4
The Powerpuff Girls Movie,2002,PG,73,63,11.3
Sunshine State,2002,PG-13,141,80,2.8
Halloween: Resurrection,2002,R,94,12,30.3
Reign of Fire,2002,PG-13,101,40,42.9
Road to Perdition,2002,R,117,81,104.1
The Crocodile Hunter: Collision Course,2002,PG,90,53,28.3
Eight Legged Freaks,2002,PG-13,99,48,17.2
K-19: The Widowmaker,2002,PG-13,138,60,35.1
Stuart Little 2,2002,PG,77,81,64.7
Austin Powers in Goldmember,2002,PG-13,94,54,213.1
The Country Bears,2002,G,88,30,16.9
The Master of Disguise,2002,PG,80,1,40.3
Signs,2002,PG-13,106,74,227.9
Martin Lawrence Live: Runteldat,2002,R,113,39,19.1
My Big Fat Greek Wedding,2002,PG,95,76,241.3
Spy Kids 2: Island of Lost Dreams,2002,PG,100,74,85.6
xXx,2002,PG-13,124,48,141.1
Blood Work,2002,R,110,53,26.1
Blue Crush,2002,PG-13,104,36,1
The Adventures of Pluto Nash,2002,PG-13,95,5,4.4
S1m0ne,2002,PG-13,117,51,9.5
Serving Sara,2002,PG-13,99,4,16.9
Possession,2002,PG-13,102,65,10.1
Feardotcom,2002,R,101,3,13.1
City by the Sea,2002,R,108,48,22.4
Swimfan,2002,PG-13,85,14,28.3
Stealing Harvard,2002,PG-13,85,9,13.9
Barbershop,2002,PG-13,102,82,75.1
Manna from Heaven,2002,PG,119,22,0.1
Ballistic: Ecks vs. Sever,2002,R,91,0,14.2
Charly,2002,PG,103,20,0.7
The Banger Sisters,2002,R,98,47,30.2
The Four Feathers,2002,PG-13,132,41,18.2
Trapped,2002,R,106,18,6.9
Pandora's Box,2002,R,103,0,0.8
Sweet Home Alabama,2002,PG-13,108,38,127.2
The Tuxedo,2002,PG-13,98,22,50.2
Jonah: A VeggieTales Movie,2002,G,82,65,25.4
Igby Goes Down,2002,R,98,76,4.6
Red Dragon,2002,R,124,69,92.9
Moonlight Mile,2002,PG-13,117,63,6.7
Anything But Love,2002,PG-13,102,37,0.0587
Secretary,2002,R,104,75,3.8
The Transporter,2002,PG-13,92,53,25.2
The Rules of Attraction,2002,R,110,43,6.5
White Oleander,2002,PG-13,109,70,16.3
Brown Sugar,2002,PG-13,109,66,27.2
Tuck Everlasting,2002,PG,90,61,19
The Ring,2002,PG-13,115,72,128.6
Welcome to Collinwood,2002,R,86,54,0.0752
Abandon,2002,PG-13,99,16,10.7
Hansel & Gretel,2002,PG,89,0,0.1
Paid in Full,2002,R,97,51,3
Jackass: The Movie,2002,R,87,48,64.2
The Truth About Charlie,2002,PG-13,104,33,5.3
Ghost Ship,2002,R,91,14,30.1
Auto Focus,2002,R,105,72,1.8
Comedian,2002,R,82,76,2.7
Punch-Drunk Love,2002,R,95,79,17.8
The Santa Clause 2,2002,G,104,55,139.2
8 Mile,2002,R,110,76,116.6
Real Women Have Curves,2002,PG-13,90,83,5.7
Bowling for Columbine,2002,R,120,96,21.2
Harry Potter and the Chamber of Secrets,2002,PG,161,82,261.8
Half Past Dead,2002,PG-13,98,3,15.4
Frida,2002,R,123,76,25.7
Friday After Next,2002,R,85,25,33
The Emperor's Club,2002,PG-13,109,50,14
Roger Dodger,2002,R,106,88,1.2
Die Another Day,2002,PG-13,133,57,160.2
Eight Crazy Nights,2002,PG-13,76,12,23.3
Solaris,2002,PG-13,99,66,14.8
Treasure Planet,2002,PG,95,68,38.1
They,2002,PG-13,89,38,12.6
Standing in the Shadows of Motown,2002,PG,108,92,1.2
Analyze That,2002,R,96,27,32.1
Empire,2002,R,90,21,17.5
Drumline,2002,PG-13,118,82,56.2
Maid in Manhattan,2002,PG-13,105,39,93.8
Star Trek: Nemesis,2002,PG-13,116,37,43.1
The Hot Chick,2002,PG-13,104,21,34.9
The Lord of the Rings: The Two Towers,2002,PG-13,179,96,340.5
The Wild Thornberrys Movie,2002,PG,85,80,39.8
Gangs of New York,2002,R,167,75,77.6
Two Weeks Notice,2002,PG-13,101,42,93.2
Catch Me If You Can,2002,PG-13,141,96,164.4
Pinocchio,2002,G,108,0,3.6
Evelyn,2002,PG,94,64,1.3
About Schmidt,2002,R,125,85,65
25th Hour,2002,R,135,78,12.8
Narc,2002,R,105,83,10.2
Antwone Fisher,2002,PG-13,120,79,20.8
Far from Heaven,2002,PG-13,107,87,15.8
Cherish,2002,R,99,51,0.2
Chicago,2002,PG-13,113,86,170.6
Confessions of a Dangerous Mind,2002,R,113,79,15.9
Spun,2002,R,101,37,0.2
Adaptation.,2002,R,114,91,22.2
The Hours,2002,PG-13,114,81,41.5
The Guru,2002,R,94,57,2.9
Dark Blue,2002,R,118,58,9.1
Poolhall Junkies,2002,R,99,34,0.5
Boat Trip,2002,R,94,7,8.5
City of Ghosts,2002,R,116,47,0.3
Personal Velocity: Three Portraits,2002,R,86,69,0.6
Laurel Canyon,2002,R,103,68,3.6
Phone Booth,2002,R,81,71,46.5
Better Luck Tomorrow,2002,R,101,81,3.7
Raising Victor Vargas,2002,R,88,96,2
The Dancer Upstairs,2002,R,132,64,2.3
Spellbound,2002,G,97,98,5.5
Nicholas Nickleby,2002,PG,132,77,1.3
Stolen Summer,2002,PG,91,36,0.1
Bend It Like Beckham,2002,PG-13,112,85,32.4
The Secret Lives of Dentists,2002,R,104,85,3.6
Assassination Tango,2002,R,114,48,0.9
Cabin Fever,2002,R,93,63,21.1
Pumpkin,2002,R,113,36,0.1
Darkness,2002,PG-13,88,4,22
G,2002,R,97,24,3
National Security,2003,PG-13,88,11,35.8
A Guy Thing,2003,PG-13,101,24,15.4
Darkness Falls,2003,PG-13,86,9,32
The R.M.,2003,PG,101,64,0.4
Final Destination 2,2003,R,90,48,46.5
Biker Boyz,2003,PG-13,110,23,21.7
The Recruit,2003,PG-13,115,43,52.7
Deliver Us from Eva,2003,R,105,44,17.3
Shanghai Knights,2003,PG-13,114,66,60.4
How to Lose a Guy in 10 Days,2003,PG-13,116,42,105.8
Daredevil,2003,PG-13,103,45,102.5
The Jungle Book 2,2003,G,72,19,47.8
Gods and Generals,2003,PG-13,219,8,12.9
Old School,2003,R,88,60,74.6
The Life of David Gale,2003,R,130,19,19.6
Cradle 2 the Grave,2003,R,101,26,34.5
Tears of the Sun,2003,R,121,33,43.4
Bringing Down the House,2003,PG-13,105,34,132.5
The Hunted,2003,R,94,29,34.2
Agent Cody Banks,2003,PG,102,39,47.3
Willard,2003,PG-13,100,64,6.8
Dreamcatcher,2003,R,134,30,33.6
View from the Top,2003,PG-13,87,14,15.5
Piglet's Big Movie,2003,G,75,71,23.1
The Core,2003,PG-13,135,41,31
Head of State,2003,PG-13,95,31,37.8
Basic,2003,R,98,21,26.5
DysFunktional Family,2003,R,89,43,2.2
What a Girl Wants,2003,PG,105,35,36
A Man Apart,2003,R,109,11,26.2
House of 1000 Corpses,2003,R,89,19,12.6
Anger Management,2003,PG-13,106,43,133.8
Bulletproof Monk,2003,PG-13,104,23,23
Chasing Papi,2003,PG,80,14,6.1
Ghosts of the Abyss,2003,PG,59,80,16.3
Malibu's Most Wanted,2003,PG-13,86,31,34.3
Holes,2003,PG,117,77,67.3
It Runs in the Family,2003,PG-13,109,28,7.4
Confidence,2003,R,97,70,12.1
The Real Cancun,2003,R,96,35,3.7
Identity,2003,R,90,62,51.5
The Lizzie McGuire Movie,2003,PG,94,40,42.7
X-Men 2,2003,PG-13,134,87,214.8
A Mighty Wind,2003,PG-13,91,88,17.5
Daddy Day Care,2003,PG,92,28,104.1
The Matrix Reloaded,2003,R,138,73,281.5
The Shape of Things,2003,R,96,64,0.7
The In-Laws,2003,PG-13,98,34,20.4
Bruce Almighty,2003,PG-13,101,48,242.6
Wrong Turn,2003,R,84,41,15.2
Finding Nemo,2003,G,100,99,41.1
The Italian Job,2003,PG-13,111,73,106
2 Fast 2 Furious,2003,PG-13,107,36,127.1
Hollywood Homicide,2003,PG-13,116,30,30
Dumb and Dumberer: When Harry Met Lloyd,2003,PG-13,85,10,26.1
Rugrats Go Wild,2003,PG,80,41,39.4
From Justin to Kelly,2003,PG,81,10,4.6
Hulk,2003,PG-13,138,62,132.1
Alex & Emma,2003,PG-13,96,11,14.1
Charlie's Angels: Full Throttle,2003,PG-13,106,43,100.7
"Legally Blonde 2: Red, White & Blonde",2003,PG-13,95,38,89.8
Sinbad: Legend of the Seven Seas,2003,PG,86,46,26.3
Terminator 3: Rise of the Machines,2003,R,109,70,150.3
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,79,305.3
The League of Extraordinary Gentlemen,2003,PG-13,110,17,66.3
Johnny English,2003,PG,87,33,28
How to Deal,2003,PG-13,101,28,14.1
Bad Boys II,2003,R,147,23,138.4
Lara Croft Tomb Raider: The Cradle of Life,2003,PG-13,117,24,65.7
Seabiscuit,2003,PG-13,140,77,120.1
Spy Kids 3-D: Game Over,2003,PG,84,45,111.7
American Wedding,2003,R,96,55,104.4
Northfork,2003,PG-13,103,56,1.3
All the Real Girls,2003,R,108,71,0.1
Freaky Friday,2003,PG,97,88,110.2
Masked and Anonymous,2003,PG-13,112,24,0.1
S.W.A.T.,2003,PG-13,117,48,116.6
Uptown Girls,2003,PG-13,92,14,36.9
Freddy vs. Jason,2003,R,97,40,82.2
Open Range,2003,R,139,79,58.3
Grind,2003,PG-13,105,8,5.1
The Medallion,2003,PG-13,88,18,22
Marci X,2003,R,84,9,1.5
Camp,2003,PG-13,114,63,1.6
Le divorce,2003,PG-13,117,37,8.9
Step Into Liquid,2003,PG,88,82,3.6
Jeepers Creepers II,2003,R,104,23,35.1
The Order,2003,R,102,8,7.5
Dickie Roberts: Former Child Star,2003,PG-13,98,23,22.7
American Splendor,2003,R,101,94,6
Matchstick Men,2003,PG-13,116,82,36.9
Once Upon a Time in Mexico,2003,R,102,68,55.8
Anything Else,2003,R,108,40,3.1
Underworld,2003,R,121,31,51.5
Thirteen,2003,R,100,81,4.5
Cold Creek Manor,2003,R,118,12,21.3
Secondhand Lions,2003,PG,109,59,41.4
The Fighting Temptations,2003,PG-13,123,42,30.2
Luther,2003,PG-13,123,44,5.7
Under the Tuscan Sun,2003,PG-13,113,62,43.5
The Rundown,2003,PG-13,104,71,47.6
School of Rock,2003,PG-13,108,92,81.2
Lost in Translation,2003,R,101,95,44.6
House of the Dead,2003,R,90,4,10.2
Good Boy!,2003,PG,87,45,37.6
Intolerable Cruelty,2003,PG-13,100,75,35.1
Mystic River,2003,R,138,87,90.1
Party Monster,2003,R,98,29,0.3
The Texas Chainsaw Massacre,2003,R,98,36,80.1
Runaway Jury,2003,PG-13,127,72,49.2
Scary Movie 3,2003,PG-13,84,36,109.8
Wonderland,2003,R,104,34,1
Beyond Borders,2003,R,127,14,4.4
Radio,2003,PG,109,36,52.3
In the Cut,2003,R,119,34,4.7
Brother Bear,2003,G,85,38,85.1
The Matrix Revolutions,2003,R,129,36,139.1
Elf,2003,PG,97,84,173.4
Master and Commander: The Far Side of the World,2003,PG-13,138,85,93.9
Love Actually,2003,R,135,63,59.4
The Singing Detective,2003,R,109,39,0.3
Elephant,2003,R,81,72,1.2
Looney Tunes: Back in Action,2003,PG,91,57,20.9
Tupac: Resurrection,2003,R,112,78,7.6
Dr. Seuss' The Cat in the Hat,2003,PG,82,10,100.4
Gothika,2003,R,98,14,59.5
The Missing,2003,R,137,58,26.8
Timeline,2003,PG-13,116,12,19.4
Shattered Glass,2003,PG-13,94,91,2.1
The Haunted Mansion,2003,PG,88,13,75.8
Pieces of April,2003,PG-13,80,84,2.4
Honey,2003,PG-13,94,21,30.2
Pride and Prejudice,2003,PG,104,66,0.0814
The Last Samurai,2003,R,154,65,111.1
Love Don't Cost a Thing,2003,PG-13,100,13,21.7
Something's Gotta Give,2003,PG-13,128,71,124.6
The Lord of the Rings: The Return of the King,2003,PG-13,201,95,377
Mona Lisa Smile,2003,PG-13,117,35,63.7
Paycheck,2003,PG-13,119,27,53.7
Peter Pan,2003,PG,113,77,48.4
Cheaper by the Dozen,2003,PG,98,24,138.5
The Young Black Stallion,2003,G,45,45,6.1
Calendar Girls,2003,PG-13,108,74,30.9
Casa de los babys,2003,R,95,58,0.3
Big Fish,2003,PG-13,125,77,66.3
House of Sand and Fog,2003,R,126,75,12.9
"The Book of Mormon Movie, Volume 1: The Journey",2003,PG-13,120,17,1.1
21 Grams,2003,R,124,80,16.2
The Cooler,2003,R,101,77,8.2
Monster,2003,R,109,82,34.2
Concert for George,2003,PG-13,146,94,0.07
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,PG-13,95,98,4.1
Touching the Void,2003,R,106,93,4.5
Billabong Odyssey,2003,PG,88,36,0.054
Easy,2003,R,99,59,0.0148
Bukowski: Born into This,2003,R,130,83,0.0817
I'll Sleep When I'm Dead,2003,R,103,43,0.2
The Company,2003,R,112,71,2.2
Where's the Party Yaar?,2003,PG-13,110,69,0.0488
Coffee and Cigarettes,2003,R,95,65,2
