Title	Year	Rating	Runtime	Tomato Meter	Box Office
Songcatcher	2000	PG-13	109 min	74	$1.6M
The Endurance	2000	G	97 min	95	$2.1M
Tadpole	2000	PG-13	78 min	78	$2.9M
The Debut	2000	R	88 min	74	$1.5M
Antitrust	2001	PG-13	109 min	24	$11.0M
Double Take	2001	PG-13	88 min	12	$28.5M
The Pledge	2001	R	124 min	78	$18.9M
"Scotland, Pa."	2001	R	104 min	59	$0.2M
Sugar & Spice	2001	PG-13	81 min	28	$12.4M
Head Over Heels	2001	PG-13	86 min	10	$9.9M
Valentine	2001	R	96 min	8	$19.8M
Hannibal	2001	R	131 min	39	$163.9M
Saving Silverman	2001	PG-13	90 min	18	$19.0M
Recess: School's Out	2001	G	82 min	61	$34.8M
Sweet November	2001	PG-13	119 min	16	$24.4M
Down to Earth	2001	PG-13	87 min	20	$63.1M
Haunted Castle	2001	PG	38 min	25	$12.4M
Monkeybone	2001	PG-13	93 min	20	$4.9M
3000 Miles to Graceland	2001	R	125 min	14	$15.3M
See Spot Run	2001	PG	94 min	23	$32.5M
The Mexican	2001	R	123 min	56	$66.6M
Carman: The Champion	2001	PG-13	82 min	11	$1.3M
Get Over It	2001	PG-13	87 min	44	$11.3M
15 Minutes	2001	R	120 min	33	$24.2M
Bartleby	2001	PG-13	83 min	35	$60.3k
Never Again	2001	R	98 min	31	$0.2M
Enemy at the Gates	2001	R	131 min	54	$50.5M
Exit Wounds	2001	R	101 min	32	$51.4M
Heartbreakers	2001	PG-13	123 min	53	$39.9M
The Brothers	2001	R	106 min	63	$26.6M
Say It Isn't So	2001	R	95 min	9	$4.8M
Spy Kids	2001	PG	88 min	93	$110.8M
Someone Like You...	2001	PG-13	97 min	43	$26.7M
Along Came a Spider	2001	R	104 min	32	$73.6M
Blow	2001	R	124 min	55	$52.8M
Joe Dirt	2001	PG-13	91 min	11	$27.1M
Kingdom Come	2001	PG	94 min	28	$22.6M
Josie and the Pussycats	2001	PG-13	98 min	53	$14.1M
Crocodile Dundee in Los Angeles	2001	PG	92 min	11	$25.3M
Freddy Got Fingered	2001	R	87 min	11	$13.7M
Driven	2001	PG-13	116 min	14	$32.4M
One Night at McCool's	2001	R	93 min	33	$5.7M
The Forsaken	2001	R	90 min	7	$6.3M
Town & Country	2001	R	104 min	13	$6.3M
The Mummy Returns	2001	PG-13	130 min	47	$200.7M
The Tailor of Panama	2001	R	109 min	77	$13.1M
A Knight's Tale	2001	PG-13	132 min	58	$55.0M
Shrek	2001	PG	90 min	88	$267.0M
Pearl Harbor	2001	PG-13	183 min	25	$197.8M
Startup.com	2001	R	107 min	92	$0.5M
What's the Worst That Could Happen?	2001	PG-13	94 min	10	$31.1M
Moulin Rouge!	2001	PG-13	127 min	76	$55.1M
The Animal	2001	PG-13	84 min	30	$54.4M
Swordfish	2001	R	99 min	26	$68.8M
Evolution	2001	PG-13	101 min	43	$37.6M
Lara Croft: Tomb Raider	2001	PG-13	100 min	19	$129.5M
Atlantis: The Lost Empire	2001	PG	95 min	49	$83.6M
The Fast and the Furious	2001	PG-13	106 min	53	$142.5M
Dr. Dolittle 2	2001	PG	87 min	42	$111.5M
Baby Boy	2001	R	130 min	71	$27.8M
Pootie Tang	2001	PG-13	81 min	29	$2.8M
The Anniversary Party	2001	R	115 min	60	$3.0M
Crazy/Beautiful	2001	PG-13	99 min	63	$16.2M
A.I. Artificial Intelligence	2001	PG-13	146 min	73	$77.6M
Cats & Dogs	2001	PG	87 min	54	$90.9M
Kiss of the Dragon	2001	R	98 min	51	$34.7M
Final Fantasy: The Spirits Within	2001	PG-13	106 min	44	$31.5M
The Score	2001	R	124 min	73	$70.3M
Jurassic Park III	2001	PG-13	92 min	50	$180.1M
America's Sweethearts	2001	PG-13	102 min	31	$93.0M
Planet of the Apes	2001	PG-13	119 min	45	$178.1M
Original Sin	2001	R	116 min	12	$15.1M
The Princess Diaries	2001	G	115 min	47	$107.8M
Rush Hour 2	2001	PG-13	90 min	52	$226.0M
The Others	2001	PG-13	104 min	83	$96.1M
Osmosis Jones	2001	PG	95 min	55	$12.3M
American Pie 2	2001	R	108 min	52	$144.0M
Captain Corelli's Mandolin	2001	R	131 min	29	$25.3M
American Outlaws	2001	PG-13	94 min	14	$11.9M
Rat Race	2001	PG-13	112 min	44	$55.8M
The Believer	2001	R	102 min	82	$0.2M
Jay and Silent Bob Strike Back	2001	R	104 min	53	$29.9M
Bubble Boy	2001	PG-13	84 min	29	$4.2M
Ghosts of Mars	2001	R	98 min	21	$7.3M
Summer Catch	2001	PG-13	108 min	8	$19.0M
The Curse of the Jade Scorpion	2001	PG-13	103 min	45	$6.8M
The Deep End	2001	R	101 min	82	$8.3M
O	2001	R	95 min	64	$15.5M
Tortilla Soup	2001	PG-13	102 min	74	$2.9M
Made	2001	R	95 min	71	$3.7M
Hedwig and the Angry Inch	2001	R	95 min	92	$1.5M
Jeepers Creepers	2001	R	90 min	45	$37.5M
Soul Survivors	2001	PG-13	84 min	4	$2.0M
The Musketeer	2001	PG-13	104 min	11	$26.6M
Two Can Play That Game	2001	R	90 min	43	$22.0M
The Glass House	2001	PG-13	106 min	21	$17.4M
Megiddo: The Omega Code 2	2001	PG-13	104 min	10	$5.6M
Ghost World	2001	R	111 min	92	$4.7M
Glitter	2001	PG-13	104 min	7	$3.9M
Hearts in Atlantis	2001	PG-13	101 min	50	$23.6M
Zoolander	2001	PG-13	89 min	64	$44.7M
Don't Say a Word	2001	R	113 min	24	$54.2M
Extremedays	2001	PG	93 min	43	$0.5M
Big Bad Love	2001	R	111 min	41	$0.1M
Joy Ride	2001	R	97 min	73	$21.3M
Serendipity	2001	PG-13	90 min	59	$50.0M
Training Day	2001	R	122 min	72	$76.1M
Max Keeble's Big Move	2001	PG	86 min	29	$16.5M
Corky Romano	2001	PG-13	86 min	6	$23.0M
Bandits	2001	PG-13	123 min	65	$41.2M
Riding in Cars with Boys	2001	PG-13	132 min	49	$29.6M
The Last Castle	2001	R	131 min	52	$17.9M
From Hell	2001	R	122 min	57	$30.7M
Mulholland Drive	2001	R	147 min	81	$7.1M
Bones	2001	R	96 min	21	$6.8M
Thir13en Ghosts	2001	R	91 min	14	$41.6M
K-PAX	2001	PG-13	120 min	41	$50.0M
Domestic Disturbance	2001	PG-13	89 min	24	$44.4M
The One	2001	PG-13	87 min	14	$43.9M
"Monsters, Inc."	2001	G	92 min	96	$34.0M
Storytelling	2001	R	87 min	53	$0.9M
Life as a House	2001	R	125 min	47	$15.4M
Shallow Hal	2001	PG-13	114 min	51	$70.7M
Heist	2001	R	109 min	65	$23.3M
The Wash	2001	R	93 min	8	$9.8M
Harry Potter and the Sorcerer's Stone	2001	PG	152 min	80	$317.6M
The Man Who Wasn't There	2001	R	116 min	81	$7.4M
Waking Life	2001	R	99 min	80	$2.1M
Spy Game	2001	R	126 min	66	$62.3M
Out Cold	2001	PG-13	89 min	8	$13.9M
Black Knight	2001	PG-13	95 min	14	$33.3M
Behind Enemy Lines	2001	PG-13	106 min	37	$58.8M
Sidewalks of New York	2001	R	108 min	57	$2.1M
Ocean's Eleven	2001	PG-13	116 min	82	$183.3M
Vanilla Sky	2001	R	136 min	41	$100.5M
Novocaine	2001	R	95 min	38	$1.5M
Not Another Teen Movie	2001	R	89 min	28	$37.9M
The Lord of the Rings: The Fellowship of the Ring	2001	PG-13	178 min	91	$313.8M
The Majestic	2001	PG	152 min	42	$27.7M
The Business of Strangers	2001	R	84 min	80	$0.5M
Jimmy Neutron: Boy Genius	2001	G	82 min	75	$80.9M
How High	2001	R	93 min	27	$31.2M
Who Is Cletis Tout?	2001	R	92 min	23	$64.9k
Kate & Leopold	2001	PG-13	118 min	50	$47.1M
Ali	2001	R	157 min	67	$58.2M
The Royal Tenenbaums	2001	R	110 min	80	$52.3M
A Beautiful Mind	2001	PG-13	135 min	75	$170.7M
Impostor	2001	R	95 min	22	$5.3M
American Adobo	2001	R	104 min	30	$0.2M
The Shipping News	2001	R	111 min	55	$11.4M
Gosford Park	2001	R	137 min	85	$41.3M
Black Hawk Down	2001	R	144 min	76	$108.6M
I Am Sam	2001	PG-13	132 min	34	$40.3M
Birthday Girl	2001	R	93 min	58	$4.9M
In the Bedroom	2001	R	130 min	93	$35.7M
Super Troopers	2001	R	100 min	35	$18.4M
Monster's Ball	2001	R	111 min	85	$31.3M
The Mystic Masseur	2001	PG	117 min	52	$0.3M
Iris	2001	R	91 min	79	$5.4M
Kissing Jessica Stein	2001	R	97 min	84	$7.0M
Human Nature	2001	R	96 min	49	$0.7M
The Other Side of Heaven	2001	PG	113 min	29	$4.4M
Frailty	2001	R	100 min	73	$13.1M
Piñero	2001	R	103 min	43	$0.2M
Monsoon Wedding	2001	R	114 min	95	$13.7M
Jason X	2001	R	91 min	19	$12.6M
The Cat's Meow	2001	PG-13	114 min	75	$3.2M
Dogtown and Z-Boys	2001	PG-13	91 min	92	$1.2M
CQ	2001	R	88 min	67	$0.3M
Enigma	2001	R	119 min	72	$3.8M
Thirteen Conversations About One Thing	2001	R	104 min	83	$3.0M
Festival in Cannes	2001	PG-13	100 min	65	$41.0k
Lovely & Amazing	2001	R	91 min	86	$4.2M
Little Secrets	2001	PG	96 min	60	$0.4M
Knockaround Guys	2001	R	92 min	20	$11.5M
Pokémon 4: The Movie	2001	G	75 min	14	$1.6M
The Man from Elysian Fields	2001	R	106 min	51	$1.3M
Cowboy Bebop: The Movie	2001	R	115 min	64	$0.9M
The Safety of Objects	2001	R	121 min	49	$86.2k
On_Line	2002	R	97 min	38	$25.7k
Orange County	2002	PG-13	82 min	46	$41.0M
State Property	2002	R	88 min	0	$2.1M
Snow Dogs	2002	PG	99 min	24	$81.1M
A Walk to Remember	2002	PG	101 min	27	$41.1M
Kung Pow: Enter the Fist	2002	PG-13	81 min	11	$15.9M
The Count of Monte Cristo	2002	PG-13	131 min	73	$54.1M
The Mothman Prophecies	2002	PG-13	119 min	52	$35.2M
The Singles Ward	2002	PG	102 min	50	$1.1M
Slackers	2002	R	86 min	10	$4.8M
Big Fat Liar	2002	PG	88 min	42	$47.8M
Collateral Damage	2002	R	108 min	19	$40.0M
Rollerball	2002	R	98 min	3	$18.9M
Crossroads	2002	PG-13	93 min	14	$37.1M
John Q	2002	PG-13	116 min	23	$71.0M
Hart's War	2002	R	125 min	60	$19.0M
Return to Never Land	2002	G	72 min	45	$48.3M
Heaven	2002	R	97 min	74	$0.6M
Dragonfly	2002	PG-13	104 min	7	$30.1M
Queen of the Damned	2002	R	101 min	17	$30.3M
We Were Soldiers	2002	R	138 min	63	$78.1M
The Time Machine	2002	PG-13	96 min	29	$56.7M
All About the Benjamins	2002	R	95 min	30	$25.5M
Showtime	2002	PG-13	95 min	25	$37.9M
Ice Age	2002	PG	81 min	77	$176.2M
Resident Evil	2002	R	100 min	33	$39.5M
Sorority Boys	2002	R	93 min	13	$10.2M
Blade II	2002	R	117 min	59	$81.6M
Clockstoppers	2002	PG	94 min	29	$36.9M
Panic Room	2002	R	112 min	76	$95.3M
Death to Smoochy	2002	R	109 min	42	$8.3M
The Rookie	2002	G	127 min	83	$75.5M
Van Wilder: Party Liaison	2002	R	92 min	18	$21.0M
Big Trouble	2002	PG-13	85 min	48	$7.3M
Changing Lanes	2002	R	98 min	77	$66.7M
The Sweetest Thing	2002	R	88 min	26	$24.4M
The Scorpion King	2002	PG-13	92 min	41	$90.3M
Life or Something Like It	2002	PG-13	103 min	28	$14.4M
Deuces Wild	2002	R	96 min	3	$6.0M
Hollywood Ending	2002	PG-13	112 min	47	$4.8M
The New Guy	2002	PG-13	88 min	7	$29.0M
Unfaithful	2002	R	124 min	49	$52.7M
Star Wars: Episode II - Attack of the Clones	2002	PG	142 min	67	$310.3M
The Salton Sea	2002	R	103 min	62	$0.6M
About a Boy	2002	PG-13	101 min	93	$40.6M
Spirit: Stallion of the Cimarron	2002	G	83 min	69	$73.2M
Enough	2002	PG-13	115 min	22	$39.2M
Insomnia	2002	R	118 min	92	$67.2M
Civil Brand	2002	R	95 min	16	$0.1M
Undercover Brother	2002	PG-13	86 min	77	$38.2M
The Sum of All Fears	2002	PG-13	124 min	59	$118.5M
Divine Secrets of the Ya-Ya Sisterhood	2002	PG-13	116 min	44	$69.5M
Bad Company	2002	PG-13	116 min	10	$30.1M
The Bourne Identity	2002	PG-13	119 min	83	$121.5M
Scooby-Doo	2002	PG	86 min	30	$153.2M
Windtalkers	2002	R	134 min	32	$40.5M
Passionada	2002	PG-13	108 min	58	$0.5M
Minority Report	2002	PG-13	145 min	90	$131.9M
Juwanna Mann	2002	PG-13	91 min	10	$13.4M
Lilo & Stitch	2002	PG	85 min	86	$145.8M
Mr. Deeds	2002	PG-13	96 min	22	$126.2M
Hey Arnold! The Movie	2002	PG	76 min	29	$13.6M
Like Mike	2002	PG	99 min	57	$51.4M
Men in Black II	2002	PG-13	88 min	39	$190.4M
The Powerpuff Girls Movie	2002	PG	73 min	63	$11.3M
Sunshine State	2002	PG-13	141 min	80	$2.8M
Halloween: Resurrection	2002	R	94 min	12	$30.3M
Reign of Fire	2002	PG-13	101 min	40	$42.9M
Road to Perdition	2002	R	117 min	81	$104.1M
The Crocodile Hunter: Collision Course	2002	PG	90 min	53	$28.3M
Eight Legged Freaks	2002	PG-13	99 min	48	$17.2M
K-19: The Widowmaker	2002	PG-13	138 min	60	$35.1M
Stuart Little 2	2002	PG	77 min	81	$64.7M
Austin Powers in Goldmember	2002	PG-13	94 min	54	$213.1M
The Country Bears	2002	G	88 min	30	$16.9M
The Master of Disguise	2002	PG	80 min	1	$40.3M
Signs	2002	PG-13	106 min	74	$227.9M
Martin Lawrence Live: Runteldat	2002	R	113 min	39	$19.1M
My Big Fat Greek Wedding	2002	PG	95 min	76	$241.3M
Spy Kids 2: Island of Lost Dreams	2002	PG	100 min	74	$85.6M
xXx	2002	PG-13	124 min	48	$141.1M
Blood Work	2002	R	110 min	53	$26.1M
Blue Crush	2002	PG-13	104 min	36	$1.0M
The Adventures of Pluto Nash	2002	PG-13	95 min	5	$4.4M
S1m0ne	2002	PG-13	117 min	51	$9.5M
Serving Sara	2002	PG-13	99 min	4	$16.9M
Possession	2002	PG-13	102 min	65	$10.1M
Feardotcom	2002	R	101 min	3	$13.1M
City by the Sea	2002	R	108 min	48	$22.4M
Swimfan	2002	PG-13	85 min	14	$28.3M
Stealing Harvard	2002	PG-13	85 min	9	$13.9M
Barbershop	2002	PG-13	102 min	82	$75.1M
Manna from Heaven	2002	PG	119 min	22	$0.1M
Ballistic: Ecks vs. Sever	2002	R	91 min	0	$14.2M
Charly	2002	PG	103 min	20	$0.7M
The Banger Sisters	2002	R	98 min	47	$30.2M
The Four Feathers	2002	PG-13	132 min	41	$18.2M
Trapped	2002	R	106 min	18	$6.9M
Pandora's Box	2002	R	103 min	0	$0.8M
Sweet Home Alabama	2002	PG-13	108 min	38	$127.2M
The Tuxedo	2002	PG-13	98 min	22	$50.2M
Jonah: A VeggieTales Movie	2002	G	82 min	65	$25.4M
Igby Goes Down	2002	R	98 min	76	$4.6M
Red Dragon	2002	R	124 min	69	$92.9M
Moonlight Mile	2002	PG-13	117 min	63	$6.7M
Anything But Love	2002	PG-13	102 min	37	$58.7k
Secretary	2002	R	104 min	75	$3.8M
The Transporter	2002	PG-13	92 min	53	$25.2M
The Rules of Attraction	2002	R	110 min	43	$6.5M
White Oleander	2002	PG-13	109 min	70	$16.3M
Brown Sugar	2002	PG-13	109 min	66	$27.2M
Tuck Everlasting	2002	PG	90 min	61	$19.0M
The Ring	2002	PG-13	115 min	72	$128.6M
Welcome to Collinwood	2002	R	86 min	54	$75.2k
Abandon	2002	PG-13	99 min	16	$10.7M
Hansel & Gretel	2002	PG	89 min	0	$0.1M
Paid in Full	2002	R	97 min	51	$3.0M
Jackass: The Movie	2002	R	87 min	48	$64.2M
The Truth About Charlie	2002	PG-13	104 min	33	$5.3M
Ghost Ship	2002	R	91 min	14	$30.1M
Auto Focus	2002	R	105 min	72	$1.8M
Comedian	2002	R	82 min	76	$2.7M
Punch-Drunk Love	2002	R	95 min	79	$17.8M
The Santa Clause 2	2002	G	104 min	55	$139.2M
8 Mile	2002	R	110 min	76	$116.6M
Real Women Have Curves	2002	PG-13	90 min	83	$5.7M
Bowling for Columbine	2002	R	120 min	96	$21.2M
Harry Potter and the Chamber of Secrets	2002	PG	161 min	82	$261.8M
Half Past Dead	2002	PG-13	98 min	3	$15.4M
Frida	2002	R	123 min	76	$25.7M
Friday After Next	2002	R	85 min	25	$33.0M
The Emperor's Club	2002	PG-13	109 min	50	$14.0M
Roger Dodger	2002	R	106 min	88	$1.2M
Die Another Day	2002	PG-13	133 min	57	$160.2M
Eight Crazy Nights	2002	PG-13	76 min	12	$23.3M
Solaris	2002	PG-13	99 min	66	$14.8M
Treasure Planet	2002	PG	95 min	68	$38.1M
They	2002	PG-13	89 min	38	$12.6M
Standing in the Shadows of Motown	2002	PG	108 min	92	$1.2M
Analyze That	2002	R	96 min	27	$32.1M
Empire	2002	R	90 min	21	$17.5M
Drumline	2002	PG-13	118 min	82	$56.2M
Maid in Manhattan	2002	PG-13	105 min	39	$93.8M
Star Trek: Nemesis	2002	PG-13	116 min	37	$43.1M
The Hot Chick	2002	PG-13	104 min	21	$34.9M
The Lord of the Rings: The Two Towers	2002	PG-13	179 min	96	$340.5M
The Wild Thornberrys Movie	2002	PG	85 min	80	$39.8M
Gangs of New York	2002	R	167 min	75	$77.6M
Two Weeks Notice	2002	PG-13	101 min	42	$93.2M
Catch Me If You Can	2002	PG-13	141 min	96	$164.4M
Pinocchio	2002	G	108 min	0	$3.6M
Evelyn	2002	PG	94 min	64	$1.3M
About Schmidt	2002	R	125 min	85	$65.0M
25th Hour	2002	R	135 min	78	$12.8M
Narc	2002	R	105 min	83	$10.2M
Antwone Fisher	2002	PG-13	120 min	79	$20.8M
Far from Heaven	2002	PG-13	107 min	87	$15.8M
Cherish	2002	R	99 min	51	$0.2M
Chicago	2002	PG-13	113 min	86	$170.6M
Confessions of a Dangerous Mind	2002	R	113 min	79	$15.9M
Spun	2002	R	101 min	37	$0.2M
Adaptation.	2002	R	114 min	91	$22.2M
The Hours	2002	PG-13	114 min	81	$41.5M
The Guru	2002	R	94 min	57	$2.9M
Dark Blue	2002	R	118 min	58	$9.1M
Poolhall Junkies	2002	R	99 min	34	$0.5M
Boat Trip	2002	R	94 min	7	$8.5M
City of Ghosts	2002	R	116 min	47	$0.3M
Personal Velocity: Three Portraits	2002	R	86 min	69	$0.6M
Laurel Canyon	2002	R	103 min	68	$3.6M
Phone Booth	2002	R	81 min	71	$46.5M
Better Luck Tomorrow	2002	R	101 min	81	$3.7M
Raising Victor Vargas	2002	R	88 min	96	$2.0M
The Dancer Upstairs	2002	R	132 min	64	$2.3M
Spellbound	2002	G	97 min	98	$5.5M
Nicholas Nickleby	2002	PG	132 min	77	$1.3M
Stolen Summer	2002	PG	91 min	36	$0.1M
Bend It Like Beckham	2002	PG-13	112 min	85	$32.4M
The Secret Lives of Dentists	2002	R	104 min	85	$3.6M
Assassination Tango	2002	R	114 min	48	$0.9M
Cabin Fever	2002	R	93 min	63	$21.1M
Pumpkin	2002	R	113 min	36	$0.1M
Darkness	2002	PG-13	88 min	4	$22.0M
G	2002	R	97 min	24	$3.0M
National Security	2003	PG-13	88 min	11	$35.8M
A Guy Thing	2003	PG-13	101 min	24	$15.4M
Darkness Falls	2003	PG-13	86 min	9	$32.0M
The R.M.	2003	PG	101 min	64	$0.4M
Final Destination 2	2003	R	90 min	48	$46.5M
Biker Boyz	2003	PG-13	110 min	23	$21.7M
The Recruit	2003	PG-13	115 min	43	$52.7M
Deliver Us from Eva	2003	R	105 min	44	$17.3M
Shanghai Knights	2003	PG-13	114 min	66	$60.4M
How to Lose a Guy in 10 Days	2003	PG-13	116 min	42	$105.8M
Daredevil	2003	PG-13	103 min	45	$102.5M
The Jungle Book 2	2003	G	72 min	19	$47.8M
Gods and Generals	2003	PG-13	219 min	8	$12.9M
Old School	2003	R	88 min	60	$74.6M
The Life of David Gale	2003	R	130 min	19	$19.6M
Cradle 2 the Grave	2003	R	101 min	26	$34.5M
Tears of the Sun	2003	R	121 min	33	$43.4M
Bringing Down the House	2003	PG-13	105 min	34	$132.5M
The Hunted	2003	R	94 min	29	$34.2M
Agent Cody Banks	2003	PG	102 min	39	$47.3M
Willard	2003	PG-13	100 min	64	$6.8M
Dreamcatcher	2003	R	134 min	30	$33.6M
View from the Top	2003	PG-13	87 min	14	$15.5M
Piglet's Big Movie	2003	G	75 min	71	$23.1M
The Core	2003	PG-13	135 min	41	$31.0M
Head of State	2003	PG-13	95 min	31	$37.8M
Basic	2003	R	98 min	21	$26.5M
DysFunktional Family	2003	R	89 min	43	$2.2M
What a Girl Wants	2003	PG	105 min	35	$36.0M
A Man Apart	2003	R	109 min	11	$26.2M
House of 1000 Corpses	2003	R	89 min	19	$12.6M
Anger Management	2003	PG-13	106 min	43	$133.8M
Bulletproof Monk	2003	PG-13	104 min	23	$23.0M
Chasing Papi	2003	PG	80 min	14	$6.1M
Ghosts of the Abyss	2003	PG	59 min	80	$16.3M
Malibu's Most Wanted	2003	PG-13	86 min	31	$34.3M
Holes	2003	PG	117 min	77	$67.3M
It Runs in the Family	2003	PG-13	109 min	28	$7.4M
Confidence	2003	R	97 min	70	$12.1M
The Real Cancun	2003	R	96 min	35	$3.7M
Identity	2003	R	90 min	62	$51.5M
The Lizzie McGuire Movie	2003	PG	94 min	40	$42.7M
X-Men 2	2003	PG-13	134 min	87	$214.8M
A Mighty Wind	2003	PG-13	91 min	88	$17.5M
Daddy Day Care	2003	PG	92 min	28	$104.1M
The Matrix Reloaded	2003	R	138 min	73	$281.5M
The Shape of Things	2003	R	96 min	64	$0.7M
The In-Laws	2003	PG-13	98 min	34	$20.4M
Bruce Almighty	2003	PG-13	101 min	48	$242.6M
Wrong Turn	2003	R	84 min	41	$15.2M
Finding Nemo	2003	G	100 min	99	$41.1M
The Italian Job	2003	PG-13	111 min	73	$106.0M
2 Fast 2 Furious	2003	PG-13	107 min	36	$127.1M
Hollywood Homicide	2003	PG-13	116 min	30	$30.0M
Dumb and Dumberer: When Harry Met Lloyd	2003	PG-13	85 min	10	$26.1M
Rugrats Go Wild	2003	PG	80 min	41	$39.4M
From Justin to Kelly	2003	PG	81 min	10	$4.6M
Hulk	2003	PG-13	138 min	62	$132.1M
Alex & Emma	2003	PG-13	96 min	11	$14.1M
Charlie's Angels: Full Throttle	2003	PG-13	106 min	43	$100.7M
"Legally Blonde 2: Red, White & Blonde"	2003	PG-13	95 min	38	$89.8M
Sinbad: Legend of the Seven Seas	2003	PG	86 min	46	$26.3M
Terminator 3: Rise of the Machines	2003	R	109 min	70	$150.3M
Pirates of the Caribbean: The Curse of the Black Pearl	2003	PG-13	143 min	79	$305.3M
The League of Extraordinary Gentlemen	2003	PG-13	110 min	17	$66.3M
